Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.284000039,1.317000031,1.302000046,1.264000058,1.243999958
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,61.68299866,61.51300049,61.63000107,61.13199997,61.34899902
Afghanistan,AFG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,6.297999859,6.355000019,6.493000031,6.723999977,6.741000175
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,32.01900101,32.13199997,31.87700081,32.14500046,31.90999985
Albania,ALB,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.570000052,1.756000042,1.975999951,2.400000095,2.434999943
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,47.43500137,44.8030014,42.88999939,41.36600113,40.6590004
Albania,ALB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,16.54299927,17.1989994,17.52300072,18.61300087,18.45299911
Albania,ALB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,36.02199936,37.9980011,39.58599854,40.02099991,40.88800049
Algeria,DZA,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.449999809,4.118999958,3.832999945,3.234999895,3.069999933
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,14.68999958,12.48499966,13.56599998,13.07499981,12.73499966
Algeria,DZA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,40.74599838,41.4679985,47.02000046,47.59500122,47.09000015
Algeria,DZA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,44.56399918,46.04700089,39.41500092,39.33000183,40.17499924
American Samoa,ASM,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
American Samoa,ASM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
